id;name;name_en
1;Νευρολογική;Neurological
2;Μαιευτική/Γυν;Obstetric Gynecological
3;Παιδιατρική;Pedriatical
4;ΩΡΛ;ENT
5;Θωρακοχειρουργική;Thoracic Surgery
6;Αγγειοχειρουργική;Vascular Surgery
7;Παιδοψυχιατρική;Child Psychiatric
8;Ουρολογική;Urological
9;Πλαστική Χειρουργική;Plastic Surgery
10;Χειρουργική;Surgery
11;Γυναικολογική;Gynecological
12;Οφθαλμολογική;Ophthalmology
13;Αιμοδυναμικό;Haemodynamic
14;Νευροχειρουργική;Neurosurgery
15;Ψυχιατρική;Psychiatric
16;Πνευμονολογική;Pulmonary
17;Παιδοορθοπαιδική;Child Orthopaedic
18;Γναθοχειρουργική;Maxillofacial
19;Καρδιοχειρουργική;Cardiac Surgery
20;Νεογνολογική;Neonatal
21;Παθολογική;Internal Medicine
22;Ορθοπαιδική;Orthopaedic
23;Παιδοχειρουργική;Child Surgery
24;Οδοντιατρική;Dental
25;Καρδιολογική;Cardiology
