id;name;region;address;postcode;telephone;email;website
1;Γενικό Νοσοκομείο ΠΑΠΑΓΕΩΡΓΙΟΥ;ΘΕΣΣΑΛΟΝΙΚΗ;Περιφερειακή Οδός - Ν. Ευκαρπία;56403;2313323000;grampr@papageorgiou-hospital.gr;www.papageorgiou-hospital.gr
2;Γενικό Νοσοκομείο Θεσσαλονίκης “ΓΕΩΡΓΙΟΣ ΠΑΠΑΝΙΚΟΛΑΟΥ”;ΘΕΣΣΑΛΟΝΙΚΗ;Λεωφόρος Παπανικολάου, Πηλαία – Χορτιάτης;57010;2313307000;info.gpapanikolaou@n3.syzefxis.gov.gr;www.gpapanikolaou.gr
3;Ψυχιατρικό Νοσοκομείο Θεσσαλονίκης;ΘΕΣΣΑΛΟΝΙΚΗ;Λαγκαδά 196;56429;2313324100;info@psychothes.gr;www.psychothes.gr
4;Γενικό Νοσοκομείο Θεσσαλονίκης “ΓΕΩΡΓΙΟΣ ΓΕΝΝΗΜΑΤΑΣ”;ΘΕΣΣΑΛΟΝΙΚΗ;Εθνικής Αμύνης 41;54635;2313308100;info@gennimatas-thess.gr;www.gennimatas-thess.gr
5;Γενικό Νοσοκομείο Θεσσαλονίκης “ΑΓΙΟΣ ΠΑΥΛΟΣ”;ΘΕΣΣΑΛΟΝΙΚΗ;Λεωφόρος Εθνικής Αντιστάσεως 161, Καλαμαριά;55134;2313304400;info@agpavlos.gr;www.agpavlos.gr
6;Γενικό Νοσοκομείο Θεσσαλονίκης “ΙΠΠΟΚΡΑΤΕΙΟ”;ΘΕΣΣΑΛΟΝΙΚΗ;Κωνσταντινουπόλεως 49;54642;2310892000;info@ippokratio.gr;www.ippokratio.gr
7;Γενικό Νοσοκομείο Θεσσαλονίκης “Ο ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ”;ΘΕΣΣΑΛΟΝΙΚΗ;Ελένης Ζωγράφου 2;54634;2313322100;agdim-plirof@3ype.gr;www.oagiosdimitrios.gr
8;Πανεπιστημιακό Γενικό Νοσοκομείο Θεσσαλονίκης “ΑΧΕΠΑ”;ΘΕΣΣΑΛΟΝΙΚΗ;Κυριακίδη 1;54621;2313303110;ahepahos@med.auth.gr;www.ahepahos.gr
9;Γενικό Νοσοκομείο Κατερίνης;ΚΑΤΕΡΙΝΗ;6ο χλμ Κατερίνης - Άρωνα Ν. Κεραμίδι;60100;2351350200;hoskat@otenet.gr;www.gnkaterini.gr
10;Ψυχιατρικός Τομέας Γενικού Νοσοκομείου Κατερίνης;ΚΑΤΕΡΙΝΗ;25ης Μαρτίου 102;60100;2351351800;gramatia@1228.syzefxis.gov.gr;www.psynpo.gr
11;Γενικό Νοσοκομείο Ημαθίας - Μονάδα Βέροιας;ΒΕΡΟΙΑ;Συνοικισμός Παπάγου;59100;2331351100;info1@verhospi.gr;www.verhospi.gr
12;Γενικό Νοσοκομείο Ημαθίας – Μονάδα Νάουσας;ΝΑΟΥΣΑ;Νοσοκομείου 3;59200;2332350100;grammateia@gnnaousas.gr;www.gnnaousas.gr
13;Γενικό Νοσοκομείο Έδεσσας;ΕΔΕΣΣΑ;Τέρμα Εγνατίας;58200;2381350100;info@gnedessas.eu;www.gnedessas.eu 
14;Γενικό Νοσοκομείο Γιαννιτσών;ΓΙΑΝΝΙΤΣΑ;Τέρμα Σεμερτζίδη;58100;2382350200;grman@gng.gr;www.gng.gr
15;"Γενικό Νοσοκομείο Κοζάνης ""ΜΑΜΑΤΣΕΙΟ""";ΚΟΖΑΝΗ;Κ. Μαματσίου 1;50100;2461352600;noskoz@mamatsio.gr;www.mamatsio.gr
16;Γενικό Νοσοκομείο Πτολεμαι?δας “ΜΠΟΔΟΣΑΚΕΙΟ”;ΠΤΟΛΕΜΑΪΔΑ;Θέση Κουρί;50200;2463351400;informatics1@mpodosakeio.gr;www.mpodosakeio.gr
