id;name;region_id;address;postcode;telephone;email;website;name_en
1;"Γενικό Νοσοκομείο ""ΠΑΠΑΓΕΩΡΓΙΟΥ""";13;Περιφερειακή Οδός - Ν. Ευκαρπία;56403;2313323000;grampr@papageorgiou-hospital.gr;www.papageorgiou-hospital.gr;"General Hospital ""PAPAGEORGIOU"""
2;Γενικό Νοσοκομείο Θεσσαλονίκης “ΓΕΩΡΓΙΟΣ ΠΑΠΑΝΙΚΟΛΑΟΥ”;13;Λεωφόρος Παπανικολάου, Πηλαία – Χορτιάτης;57010;2313307000;info.gpapanikolaou@n3.syzefxis.gov.gr;www.gpapanikolaou.gr;"General Hospital of Thessaloniki ""GEORGIOS PAPANIKOLAOU"""
3;Ψυχιατρικό Νοσοκομείο Θεσσαλονίκης;13;Λαγκαδά 196;56429;2313324100;info@psychothes.gr;www.psychothes.gr;Psychiatric Institution of Thessaloniki
4;Γενικό Νοσοκομείο Θεσσαλονίκης “ΓΕΩΡΓΙΟΣ ΓΕΝΝΗΜΑΤΑΣ”;13;Εθνικής Αμύνης 41;54635;2313308100;info@gennimatas-thess.gr;www.gennimatas-thess.gr;"General Hospital of Thessaloniki ""GEORGIOS GENNIMATAS"""
5;Γενικό Νοσοκομείο Θεσσαλονίκης “ΑΓΙΟΣ ΠΑΥΛΟΣ”;13;Λεωφόρος Εθνικής Αντιστάσεως 161, Καλαμαριά;55134;2313304400;info@agpavlos.gr;www.agpavlos.gr;"General Hospital of Thessaloniki ""AGIOS PAVLOS"""
6;Γενικό Νοσοκομείο Θεσσαλονίκης “ΙΠΠΟΚΡΑΤΕΙΟ”;13;Κωνσταντινουπόλεως 49;54642;2310892000;info@ippokratio.gr;www.ippokratio.gr;"General Hospital of Thessaloniki ""IPPOKRATIO"""
7;Γενικό Νοσοκομείο Θεσσαλονίκης “Ο ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ”;13;Ελένης Ζωγράφου 2;54634;2313322100;agdim-plirof@3ype.gr;www.oagiosdimitrios.gr;"General Hospital of Thessaloniki ""O AGIOS DIMITRIOS"""
8;Πανεπιστημιακό Γενικό Νοσοκομείο Θεσσαλονίκης “ΑΧΕΠΑ”;13;Κυριακίδη 1;54621;2313303110;ahepahos@med.auth.gr;www.ahepahos.gr;"University Hospital of Thessaloniki ""AHEPA"""
9;Γενικό Νοσοκομείο Κατερίνης;11;6ο χλμ Κατερίνης - Άρωνα Ν. Κεραμίδι;60100;2351350200;hoskat@otenet.gr;www.gnkaterini.gr;General Hospital of Katerini
10;Ψυχιατρικός Τομέας Γενικού Νοσοκομείου Κατερίνης;11;25ης Μαρτίου 102;60100;2351351800;gramatia@1228.syzefxis.gov.gr;www.psynpo.gr;Psychiatric Department of General Hospital of Katerini
